result,object,cycle_time
8,2,108
8,2,112
8,1,110
8,1,109
8,1,121
8,2,110
8,2,108
8,2,108
8,2,111
8,2,109
8,2,115
8,1,110
8,1,111
8,2,112
8,2,123
8,2,111
8,1,110
8,2,107
8,2,99
8,2,98
8,1,106
8,1,101
8,1,99
8,1,98
8,1,100
8,1,98
8,1,97
8,1,98
8,1,100
8,1,99
8,1,98
8,1,101
8,1,99
8,1,101
8,1,99
8,1,100
8,1,99
8,1,100
8,1,98
8,1,96
8,1,105
8,2,102
8,2,99
8,2,113
8,2,99
8,2,101
8,2,109
8,2,109
8,2,115
8,2,111
8,2,119
8,2,110
8,2,113
8,2,111
8,2,116
8,3,112
8,3,111
8,3,110
7,3,114
8,3,113
8,3,112
8,3,111
8,2,110
8,2,112
8,2,112
8,2,113
8,2,110
8,2,120
8,3,110
8,3,114
8,2,111
8,2,113
8,2,111
8,2,112
8,2,114
8,2,112
8,2,127
8,2,111
8,2,115
8,2,111
8,2,111
8,2,110
8,2,111
8,3,108
8,3,110
8,3,127
8,3,108
8,2,124
8,2,115
8,2,122
8,2,112
8,2,110
8,2,111
8,1,112
8,1,115
8,2,111
8,2,111
8,1,114
8,1,112
8,1,113
8,1,115
8,1,112
8,1,118
8,1,124
8,1,111
8,1,114
8,1,110
8,1,115
8,1,113
8,1,113
8,1,111
8,1,111
8,1,111
8,1,114
8,1,114
8,1,117
8,1,109
8,1,109
8,1,113
8,1,114
8,1,109
8,1,114
8,1,114
8,1,113
8,1,112
8,1,113
8,1,115
8,2,111
8,2,109
8,2,112
8,2,123
8,2,111
8,2,111
8,2,115
8,2,109
8,2,109
8,2,116
8,2,110
8,2,110
8,3,116
8,2,108
8,2,118
8,2,110
8,2,123
8,2,98
8,1,98
8,1,103
8,1,97
8,2,97
8,2,97
8,2,99
8,2,100
8,2,98
8,2,99
8,2,99
8,2,102
8,1,109
8,1,109
8,1,109
8,1,112
8,1,111
8,1,121
8,1,111
8,1,121
8,1,112
8,1,115
6,1,111
6,1,119
8,1,112
8,1,110
8,1,110
8,1,114
8,1,112
8,1,113
8,1,110
8,1,117
8,1,110
8,1,120
8,2,116
8,2,111
8,2,113
8,2,124
8,2,110
8,2,112
8,2,111
8,2,113
8,2,111
8,2,110
8,2,113
8,2,123
8,2,109
8,2,110
8,2,108
8,2,110
8,2,108
8,2,108
8,2,110
8,2,112
8,2,111
8,2,111
8,2,99
8,2,97
8,2,102
8,2,98
8,2,120
8,2,109
8,1,113
8,1,114
8,1,117
8,1,113
8,1,111
8,1,112
8,1,113
8,1,111
8,1,126
8,1,114
8,1,110
8,1,113
8,1,124
8,1,114
8,1,111
8,1,112
8,1,112
8,1,111
8,1,125
8,1,112
8,1,114
8,1,113
7,2,114
7,2,111
7,2,111
7,1,115
7,2,111
7,2,109
7,2,109
7,1,111
7,1,110
7,1,121
7,1,110
7,1,112
7,2,114
7,1,111
7,1,115
7,2,123
7,1,113
8,1,99
8,1,98
8,1,103
8,1,96
8,1,99
8,1,98
8,1,102
8,1,99
8,1,100
8,2,98
8,2,102
8,1,98
8,1,100
8,1,99
8,1,98
8,1,110
8,1,113
8,1,109
8,1,109
8,1,115
7,1,110
8,1,113
8,1,115
7,1,110
7,1,113
7,1,119
8,1,108
8,2,114
8,2,110
8,2,112
8,1,110
8,1,111
8,1,122
8,1,109
8,1,109
8,1,109
8,1,117
8,1,114
8,1,110
8,1,115
8,1,118
8,1,109
8,1,109
8,1,114
8,1,109
8,1,110
8,1,110
8,1,111
8,1,113
8,1,111
8,1,110
8,1,113
8,1,105
8,1,109
8,1,111
8,1,114
8,1,116
8,1,106
8,1,116
7,1,108
8,1,106
8,1,109
8,1,108
8,1,109
8,1,107
8,1,107
8,1,108
8,1,106
8,1,119
8,1,108
8,1,122
8,1,108
8,1,110
7,1,108
7,1,116
7,1,108
8,1,107
8,1,108
8,1,117
8,1,106
8,1,107
8,1,108
8,1,112
8,1,110
8,1,112
8,1,109
8,1,111
8,1,110
8,1,116
8,1,110
8,1,109
8,1,112
8,1,111
8,1,110
8,1,110
8,1,113
8,1,115
8,1,110
8,1,109
8,1,111
8,1,113
8,1,115
8,1,113
8,1,116
8,1,111
